text_clean,true_category,predicted_category,confidence
recurrent issue proxy automatically set up by domain policy network we updated proxy being set up au recurrent issue proxy automatically set up by domain policy network we updated proxy being set up automatically by domain policy hi received info ticket was resolved however engineers still have same issue proxy automatically set up their machines after each could you please reopen issue regards sent we updated proxy being set up automatically by domain policy [ticket_id] fellow we think below query logged for you resolved we we did well your [ticket_id] [ticket_id] summary proxy being set up automatically by domain policy description proxy being automatically set up almost each production machine by domain controller happens each when logs computer number times during turning out manually option run significantly hinder each employee their work since proxy blocks access any needed resources resolution was configured for avoid overlapping issues good know if you with provided resolution there need for response however should issue persist recur or was resolved please contact we our best provide assistance matter here how you can contact how we your ticket how we warm regards ext ref msg,Account Access / Login Issues,Bug / Defect Reports,0.99574137
quote po sent friday february re quote po hi thanks for heads up however we did spell did we ll amen quote po sent friday february re quote po hi thanks for heads up however we did spell did we ll amend can you please correct spelling exports displays correctly must be some character coding issue inside please treat matter emergency does impact work administrator phone sent friday february re quote po dear great talked about we waiting for arrival address you spelt different but arrive anyway have lovely manager frankfurt main frankfurt main sent re quote po good morning we ready order also attached po following address be into consideration frankfurt main germany believe be receiving manager dear ones for administrator phone sent thursday february aw quote hello item storing pieces estimated amounts working days en frankfurt main phone web sitz frankfurt frankfurt id re quote hey what lead for how days have received thanks administrator phone sent thursday february aw quote dear enclosed please find our quotation for further questions please hesitate contact en frankfurt main phone web sitz frankfurt frankfurt [ticket_id] stein re quote dear out please pick up thanks administrator phone sent thursday february quote good morning can you please quote also lead we would like be delivered fast thanks administrator phone,Feature Requests,Bug / Defect Reports,0.99536115
unable to sign into oracle sign error unable to sign into oracle sign error,Account Access / Login Issues,Bug / Defect Reports,0.9952543
oracle time card card hello guys understood submitted has approved meantime shifts changed by possib oracle time card card hello guys understood submitted has approved meantime shifts changed by possible order make changes thank kind regards analyst,Account Access / Login Issues,Billing & Payments,0.9952017
add to friday february pm computer added dear please add computer repositories please note issue rat add to friday february pm computer added dear please add computer repositories please note issue rather urgent thanks,Account Access / Login Issues,Feature Requests,0.99517584
please send to oracle team confirm oracle the receipt of the goods services that you have recently t please send to oracle team confirm oracle the receipt of the goods services that you have recently tuesday please receipt goods recently hi procedure right surprised purchase receipt flight tickets especially after approved understand receipt material things phones fail understand spend every item approved busy schedule quite burden especially due process configured straight forward failed getting errors despite spending valuable morning done more than link gave reference broken print screen receipting best regards director tuesday please action receipt goods recently dear requester per procedures required receipt goods recently ordered details outstanding purchase order follows purchase order number requisition number buyer name requester name creation date category name item description amount unit price quantity total amount code received amount [invoice_id] invoice code flight flight tickets flight flight tickets taxes receipt goods ordered received please wait until supplier [invoice_id] completing receipt ensure costs relating purchase recognized wait until supplier [invoice_id] by completing receipt saying goods ordered [invoice_id] exceed order [invoice_id] than order paid approve additional costs everything order suppliers invoice paid accordance agreed terms please note supplier po has receipted process receipting straightforward short video instructions receipting questions around receipting notice discrepancies order please buyer thanks information confidential legally privileged intended solely addressee opinions expressed mine necessarily represent opinions susceptible interference intended recipient disclosure copying,Billing & Payments,Bug / Defect Reports,0.9951415
completely re install ms on computer sent monday re sporadically send certain invites hello concern completely re install ms on computer sent monday re sporadically send certain invites hello concern there two issues ticket think below address second application does let join meetings when logged into think below action fix since separate please advise how can be remedied thanks date monday re sporadically send certain invites hello please be advised after [invoice_id] logs configurations servers side errors or were detected could you please assign incident or open one order completely re install computer please mention ticket there need completely cleanup machine software key after before installation best regards senior engineer en sent monday sporadically send certain invites hello could you please provide feedback for thank you analyst community builder ext hub sent friday re sporadically send certain invites hi you know when someone be reaching out help date tuesday sporadically send certain invites hello please note ticketing configured such way when engineer places call hold awaiting owner response sends owner if response provided [ticket_id] please note have raised another call for issue have assigned appropriate let know if any assistance or information required kind regards analyst ext hub sent monday incident escalated more two teams fusion hi can you please get back advise why [ticket_id] log incident for hold incident sent monday sporadically send certain invites hello please be advised tried reproduce described below behavior test machine issues or interruptions were observed could you please let know if issue reoccurred when happened last best regards senior engineer thank you sent monday incident escalated more two teams fusion [ticket_id] more than two teams fusion hi please be advised following [ticket_id] more than two teams fusion reference number summary sporadically send certain invites survey scores issue still resolved kind regards ext,Account Access / Login Issues,Bug / Defect Reports,0.99504095
phone card help submission phone card good morning two issues morning please help regarding tie shee phone card help submission phone card good morning two issues morning please help regarding tie sheet submission guys walked input error popping please second issue mobile phone given please card thanks,Account Access / Login Issues,Bug / Defect Reports,0.9950046
close task thursday hi please close complete close task close tried too close thanks awaiting third close task thursday hi please close complete close task close tried too close thanks awaiting third party murphy move complete move engineer ext,Integration Issues,General Inquiries / Other,0.9949622
new starter for wednesday march hire excuses form attached filled form concerning hire best regards new starter for wednesday march hire excuses form attached filled form concerning hire best regards,How-To / Product Usage Questions,General Inquiries / Other,0.9948748
meeting meeting hi add feature back insert meeting thanks head meeting meeting hi add feature back insert meeting thanks head,Feature Requests,General Inquiries / Other,0.9948008
inaccessible from outside for external contact needed advised client connect although has tested wir inaccessible from outside for external contact needed advised client connect although has tested wireless working client tried connect,Integration Issues,Account Access / Login Issues,0.99470407
connecting the network to client network thursday october la hi please log assign appropriate best r connecting the network to client network thursday october la hi please log assign appropriate best regards engineer wednesday october pm la va la client ne etc repository git client ca ne care se va la dam si ca la discipline lead registered under number whose registered old broad street kingdom provide clients each subsidiaries separate entity,Integration Issues,Account Access / Login Issues,0.9946239
pipeline codes to be imported to pas pipeline codes imported importance high good morning please imp pipeline codes to be imported to pas pipeline codes imported importance high good morning please import opportunities highlighted attached budgeting reviews tomorrow speedy response greatly appreciated thanks officer,Performance Problems,General Inquiries / Other,0.9945909
weekly registration reports friday october pm weekly registration reports please create called regis weekly registration reports friday october pm weekly registration reports please create called registrations make owner add myself update job thanks flagging client friday october pm weekly registration reports hi guys let mailing appears include lot work guys others thanks friday october weekly registration reports attached registration reports automated please,Performance Problems,General Inquiries / Other,0.99458104
eel features friday february pm re eel features dear please role rights eel possible implement thank eel features friday february pm re eel features dear please role rights eel possible implement thank planning officer ext wednesday pm re eel features dear eel please advise possible feature eel suggest talk find out report assignments linked eel tool awaiting updates thanks,Feature Requests,General Inquiries / Other,0.9945574
cannot edit a doc word scheduled for monday sent friday october cannot doc word importance high hi t cannot edit a doc word scheduled for monday sent friday october cannot doc word importance high hi trying word doc with lots boxes etc cannot highlight text or then word hangs regards head testing mob,Performance Problems,General Inquiries / Other,0.99444985
outlook not working after password changed working after password changed have changed password holi outlook not working after password changed working after password changed have changed password holiday since would have expired used work with password but anymore today keeps asking password again again could you please have look asap need check still holiday week thanks,Bug / Defect Reports,Account Access / Login Issues,0.99418724
joins project shared folder thursday december pm re joins sorry please find attached granted git asa joins project shared folder thursday december pm re joins sorry please find attached granted git asap he work thank much thursday december pm joins hello please advised attached please updated version proceed thank kind regards analyst ext hub wednesday december pm joins hi guys joined please him resources per attached thanks,General Inquiries / Other,Account Access / Login Issues,0.99418193
change task sent re change task hi had look if clause highlighted by you only checking below field s change task sent re change task hi had look if clause highlighted by you only checking below field server checklist can you please confirm whether we should add removal required assignment for list options generate task or replace above condition with one regards applications manager sent re change task hi apologies put everything except example etc cheers change control presence manager managed mob sent re change task hi can you please provide some examples changes displaying regards applications manager sent change task hi noticed task longer functioning when removal required assignment for ticked yes under server checklist task should go technical working since least we re situation where we got lot servers with their entries still active attached where seems be failing please can one your have look cheers change control presence manager managed mob,Bug / Defect Reports,Feature Requests,0.99393314
internal scans results kale part re scans results kale hello there findings report about infrastruct internal scans results kale part re scans results kale hello there findings report about infrastructure covering multiple issues should be split several teams findings should be covered by application should be covered by line updates should be covered by findings about servers location were fixed fixed fixed fixed fixed available but access close incident but please review list open incidents for proper teams thank you senior engineer en sent monday october scans results kale hello please find above your queue thank you analyst ext hub sent friday october scans results kale hello please find above your queue thank you analyst ext hub sent friday october scans results kale hi can you please raise tickets relevant teams guess [invoice_id] hopefully fix vulnerabilities [ticket_id] kale assets attached results vulnerability scans performed there recently kind regards information compliance officer extension or,Security & Compliance,Account Access / Login Issues,0.99382883
